"00001","TUXEDO SHOWROOM","5214 CHURCH AVE.",NULL,"BROOKLYN","NY","11203","                 AAAAAAAAAAAAAAAAAA","5214 CHURCH AVE","BROOKLYN","NY","11203",NULL,NULL,"718-922-4889",NULL,"0.00%  0 Net 30","201","0","00","0","0","0","0","1","2013-12-16 17:00:25","2013-12-16 17:02:07","0","0.00"
"00002","TUXEDO SHOWROOM 2","9732 SEAVIEW AVE.",NULL,"BROOKLYN","NY","11236","               BBBBBBBBBBBBBBBBBBBB","9732 SEAVIEW AVE.","BROOKLYN","NY","11236",NULL,NULL,"   -451-4889",NULL,"0.00%  0 Net 30","201","0","00","0","0","0","0","1","2013-12-16 17:00:25","2013-12-16 17:02:07","0","0.00"
"00003","TUXEDO SHOWROOM 3","3912 FT. HAMILTON PKWY",NULL,"BROOKLYN","NY","11218","               CCCCCCCCCCCCCCCCCCCC","3912 FT. HAMILTON PKWY","BROOKLYN","NY","11218",NULL,NULL,"718-438-4177",NULL,"0.00%  0 Net 30","201","0","00","0","0","0","0","1","2013-12-16 17:00:25","2013-12-16 17:02:07","0","0.00"
"00109","ALLEGRO","180 MONTICELLO AVE",NULL,"JERSEY CITY","NJ","07304-","180 MONTICELLO AVE         ROUTE 30",NULL,"JERSEY CITY","NJ","07304-",NULL,NULL,"   -   -","   -   -","0.00%  0 Net 30","201","0","00","0","0","0","0","1","2013-12-16 17:00:25","2013-12-16 17:02:07","0","0.00"
"00122","ARISTOCRAT","133 BROADWAY",NULL,"ELMWOOD PARK","NJ","07407-","133 BROADWAY               ROUTE 30",NULL,"ELMWOOD PARK","NJ","07407-","ED\ELI",NULL,"201-797-8181","   -   -","0.00%  0 Net 30","201","0","00","0","0","0","0","1","2013-12-16 17:00:25","2013-12-16 17:02:07","0","0.00"
"00124","ATHENS FORMAL WEAR","1730 TAYLOR AVE",NULL,"BALTIMORE","MD","21234-","1730 TAYLOR AVE                 UPS",NULL,"BALTIMORE","MD","21234-","JIMMY",NULL,"301-668-0149","   -   -","0.00%  0 Net 30","201","0","00","0","0","0","0","1","2013-12-16 17:00:25","2013-12-16 17:02:07","0","0.00"
"00126","BARRY'S","315 MONROE ST",NULL,"PASSAIC","NJ","07055-","315 MONROE ST              ROUTE 30",NULL,"PASSAIC","NJ","07055-","GLEN",NULL,"201-777-1022","   -   -","0.00%  0 Net 30","201","0","00","0","0","0","0","1","2013-12-16 17:00:25","2013-12-16 17:02:07","0","0.00"
"00129","BALDWIN FORMALS","1156 AVENUE OF THE AMERICAS","2ND FLOOR","NEW YORK CITY","NY","10036-","1156 AVENUE OF THE AMERICAS      70","2ND FLOOR","NEW YORK CITY","NY","1003610019","MARSHAL DUTKO",NULL,"212-245-8190","212-956-5831","0.00%  0 Net 30","201","0","00","0","0","0","0","1","2013-12-16 17:00:25","2013-12-16 17:02:07","1","0.00"
"00130","BELL FORMAL","3834 BELL BLVD.",NULL,"BAYSIDE","NY","11363-","3834 BELL BLVD.            ROUTE 80",NULL,"BAYSIDE","NY","11363-","CARMINE",NULL,"718-225-1331","   -   -","0.00%  0 Net 30","201","0","00","0","0","0","0","1","2013-12-16 17:00:25","2013-12-16 17:02:07","1","0.00"
"00133","BILTMORE TUXEDOS (MIDDLE)","ORANGE PLAZA",NULL,"MIDDLETOWN","NY","10940-","ORANGE PLAZA",NULL,"MIDDLETOWN","NY","10940-","GARY",NULL,"914-343-7044","   -   -","0.00%  0 Net 30","201","0","00","0","0","0","0","1","2013-12-16 17:00:25","2013-12-16 17:02:07","0","0.00"
"00134","BILTMORE TUXEDOS (PARAMUS)","341 PARAMUS PARK",NULL,"PARAMUS","NJ","07652-","341 PARAMUS PARK           ROUTE 30",NULL,"PARAMUS","NJ","07652-",NULL,NULL,"201-262-4300","   -   -","0.00%  0 Net 30","201","0","00","0","0","0","0","1","2013-12-16 17:00:25","2013-12-16 17:02:07","0","0.00"
"00135","BILTMORE TUXEDOS (RUTHER)","4 STATION SQUARE",NULL,"RUTHERFORD","NJ","07070-","4 STATION SQUARE           ROUTE 30",NULL,"RUTHERFORD","NJ","07070-","GREG / BARBARA",NULL,"201-438-6636","   -   -","0.00%  0 Net 30","201","0","00","0","0","0","0","1","2013-12-16 17:00:25","2013-12-16 17:02:07","1","0.00"
"00136","BLACK TIE","2353 MIDDLE COUNTRY RD.",NULL,"CENTEREACH","NY","11720-","2353 MIDDLE COUNTRY RD.    ROUTE 20",NULL,"CENTEREACH","NY","11720-","JOSEPHINE / NICK see note",NULL,"516-737-1030","   -   -","0.00%  0 Net 30","201","0","00","0","0","0","0","1","2013-12-16 17:00:25","2013-12-16 17:02:07","0","0.00"
